,Name,Vorname,Fraktion/Gruppe,19-004-01,19-004-02,19-004-03,19-004-04,19-004-05,19-005-01,19-005-02,19-005-03,19-011-01,19-011-02,19-011-03,19-014-01,19-021-01,19-023-01,19-023-02,19-023-03,19-023-04,19-023-05,19-029-01,19-029-02,19-029-03,19-029-04,19-033-01,19-036-01,19-039-01,19-039-02,19-039-03,19-039-04,19-040-01,19-040-02,19-040-03,19-040-04,19-042-01,19-042-02,19-042-03,19-043-01,19-045-01,19-045-02,19-045-03,19-046-01,19-058-01,19-058-02,19-058-03,19-058-04,19-058-05,19-058-06,19-059-01,19-059-02,19-059-03,19-059-04,19-061-01,19-061-02,19-061-03,19-061-04,19-061-05,19-061-06,19-064-01,19-066-01,19-066-02,19-066-03,19-068-01,19-068-02,19-068-03,19-068-04,19-068-05,19-068-06,19-069-01,19-071-01,19-075-01,19-075-02,19-083-01,19-083-02,19-083-03,19-083-04,19-083-05,19-083-06,19-086-01,19-086-02,19-086-03,19-087-01,19-087-02,19-087-03,19-088-01,19-089-04,19-089-05,19-089-06,19-089-07,19-089-08,19-089-09,19-095-05,19-098-01,19-098-02,19-098-03,19-098-04,19-101-05,19-101-06,19-101-07,19-102-01,19-104-02,19-104-03,19-105-01,19-105-02,19-105-03,19-108-01,19-108-02,19-108-03,19-108-04,19-115-01,19-115-03,19-115-04,19-115-05,19-115-06,19-115-07,19-118-01,19-118-02,19-119-01,19-119-02,19-121-01,19-121-02,19-121-03,19-124-03,19-124-04,19-126-01,19-126-02,19-127-01,19-127-02,19-127-03,19-127-04,19-127-05,19-127-06,19-127-07,19-128-01,19-129-01,19-130-01,19-132-01,19-132-02,19-132-03,19-137-01,19-137-02,19-137-03,19-137-04,19-137-05,19-137-06,19-138-01,19-138-02,19-139-01,19-140-01,19-140-02,19-140-03,19-141-01,19-143-01,19-143-02,19-143-03,19-148-01,19-153-01,19-153-02,19-154-01,19-158-02,19-160-01,19-160-02,19-160-03,19-160-04,19-162-01,19-164-01,19-164-02,19-165-01,19-165-02,19-166-02,19-167-01,19-170-01,19-170-02,19-171-01,19-171-02,19-173-02,19-175-01,19-176-01,19-177-01,19-177-02,19-183-01,19-184-01,19-184-02,19-184-03,19-186-02,19-187-01,19-187-02,19-191-01,19-191-02,19-191-03,19-191-04,19-192-01,19-195-02,19-195-03,19-197-01,19-197-02,19-198-01,19-200-01,19-201-01,19-202-01,19-204-01,19-206-01,19-207-01,19-212-02,19-214-01,19-214-02,19-215-01,19-218-01,19-218-02,19-218-03,19-219-01,19-220-01,19-223-01,19-223-02,19-223-03,19-223-04,19-223-05,19-223-06,19-223-07,19-223-08,19-225-01,19-227-01,19-227-02,19-227-03,19-227-04,19-228-01,19-229-01,19-229-02,19-229-03,19-229-04,19-229-05,19-230-01,19-233-02,19-233-03,19-233-04,19-234-01,19-234-02,19-236-01,19-236-02,19-236-03,19-236-04,19-236-05,19-236-06,19-238-01,19-238-02,19-239-01
341,Röspel,René,SPD,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Abwesend,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
342,Rossmann,Ernst Dieter,SPD,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Abwesend,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Abwesend,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Abwesend,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Abwesend,Abwesend,Abwesend,Ja,Ja,Nein,Ja,Abwesend,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend
344,Roth (Heringen),Michael,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Abwesend,Abwesend,Abwesend,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Nein,Ja,Ja,Ja,Abwesend,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Abwesend,Abwesend,Nein,Nein,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Abwesend,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Abwesend,Abwesend,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Abwesend,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Abwesend,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
348,Schäfer (Bochum),Axel,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Nein,Abwesend,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Abwesend,Ja,Nein,Nein,Nein,Nein,Ja,Abwesend,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Nein,Nein,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Abwesend,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
352,Schmidt (Aachen),Ulla,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Abwesend,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Abwesend,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Abwesend,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja
354,Schneider (Erfurt),Carsten,SPD,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Abwesend,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Abwesend,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Abwesend,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
356,Schulz (Spandau),Swen,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Enthaltung,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Enthaltung,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Abwesend,Nein,Ja,Ja,Abwesend,Ja,Nein,Nein,Ja,Enthaltung,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
358,Schwabe,Frank,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Abwesend,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Abwesend,Abwesend,Abwesend,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Abwesend,Ja,Nein,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Abwesend,Ja
361,Schwartze,Stefan,SPD,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Abwesend,Ja,Ja,Ja,Ja,Nein,Abwesend,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Nein,Ja,Abwesend,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
362,Schwarzelühr-Sutter,Rita,SPD,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Abwesend,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend,Nein,Ja,Abwesend,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Nein,Ja,Abwesend,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja
368,Tack,Kerstin,SPD,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Abwesend,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Abwesend,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend
